timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/06 09:57:23.958, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:24.959, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:25.960, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:26.961, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:27.962, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:28.963, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:29.963, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:30.964, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 56, 29 %, 1 %, 11264 MiB, 9989 MiB, 1021 MiB
2023/03/06 09:57:31.965, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 56, 20 %, 1 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:32.966, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:33.967, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:34.967, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:35.968, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:36.969, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:37.970, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:38.971, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 55, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
2023/03/06 09:57:39.972, NVIDIA GeForce RTX 2080 Ti, 00000000:18:00.0, 525.60.13, P2, 3, 3, 54, 0 %, 0 %, 11264 MiB, 10151 MiB, 859 MiB
